
---------------------Generation 0----------------------Generation 0----------------------Generation 0--------------------
Individual #0:  0011011001011100101101101011111111010101110101111111001101011110 || Fitness: 42 || Mutations: :;:;:;:;:;
Individual #1:  1011010111011111111110001100110111111111100011111100010110010111 || Fitness: 44 || Mutations: :;:;:;:
Individual #2:  0111000001001111111001010011110110100010010101110101111101011110 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #3:  1011101111001100110111011111110111010011100010011001010100011100 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #4:  1011011000011100111100110110111101001111111000111100011111111011 || Fitness: 42 || Mutations: :;:;:;:
Individual #5:  1110101111001100111111101011100111010011100000010101010100110010 || Fitness: 36 || Mutations: :;:;:;:
Individual #6:  1111110100001110110110011110001000000110101011111001110101111110 || Fitness: 38 || Mutations: :;:;:;:
Individual #7:  1010001111011010000110101101101111101010011000010011101111111010 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #8:  1011000110111010111110100110110110001111111000111000101111111111 || Fitness: 42 || Mutations: :;:;:;:
Individual #9:  1101100111010101011000110110100011111111111110110101100001111010 || Fitness: 40 || Mutations: :;:;:;:;:;
Individual #10: 1011110101001111101111010111011110001010101011111001111001101110 || Fitness: 42 || Mutations: :;:;:;:
Individual #11: 0110000001001111111001010111110110101010010101110001111101011110 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #12: 1011011010011100011100111111111001000111110000111100011111101010 || Fitness: 39 || Mutations: :;:;:;:
Individual #13: 1000100111011011110100010111000111010111111000111111011000011110 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #14: 1001010011101100110000000110111011110111110111010110010110011111 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #15: 1111110111001100011010010110101001010111110011010100011100111010 || Fitness: 37 || Mutations: :;:;:;:
Individual #16: 0111110001011100010110011110110000111110101011110001011101111110 || Fitness: 39 || Mutations: :;:;:;:
Individual #17: 1000111011011100011000111111000100110111111001011100011110111000 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #18: 0001111111001101000010010111101101011011010111011100011100111010 || Fitness: 37 || Mutations: :;:;:;:
Individual #19: 1011011100011100110100010100001101101011111100111100001111111011 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #20: 1010101101001110100110011111001101001110101101111001111100101110 || Fitness: 39 || Mutations: :;:;:;:
Individual #21: 1101100101011111110000010111000111100111011100110101011100011110 || Fitness: 38 || Mutations: :;:;:;:
Individual #22: 1101000010011011110101010111101111110111101011110111111110011110 || Fitness: 44 || Mutations: :;:;:;:
Individual #23: 1011111100011100010110011111111100011101101100011101011100111110 || Fitness: 41 || Mutations: :;:;:;:;:;
Individual #24: 1001110101011111111010011101010111100111001100110100010100010110 || Fitness: 37 || Mutations: :;:;:;:
Individual #25: 1111101111111001101010001111001101001010010001111010011111100010 || Fitness: 38 || Mutations: :;:;:;:
Individual #26: 0001001001110110111000010110100010101010111111110101110101010110 || Fitness: 35 || Mutations: :;:;:;:
Individual #27: 1011110001101110111100101110110100011111010001110001011011111110 || Fitness: 40 || Mutations: :;:;:;:;:;
Individual #28: 0101110001111100111110011110101000100110101011110101011101111110 || Fitness: 40 || Mutations: :;:;:;:;:;
Individual #29: 1100110011011100011010111111000101010101111001011100011110111000 || Fitness: 37 || Mutations: :;:;:;:
Individual #30: 1010111001001111111011101011000011100010101110110100110111100110 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #31: 0011101001001111111111010011110110110011000011010101011101011100 || Fitness: 38 || Mutations: :;:;:;:
Individual #32: 1011101100011100110110001110011111011111100100011110011100111110 || Fitness: 40 || Mutations: :;:;:;:;:;
Individual #33: 1010111001001111111011001011000111101010101010110001110001100110 || Fitness: 36 || Mutations: :;:;:;:
Individual #34: 1011111100011100100110000110011101011101000101011110011100111110 || Fitness: 37 || Mutations: Bit #24: 1->0
Individual #35: 0100010111101111010100011011010111101100010011011011100011101111 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #36: 1111100101011101011110111111001001010001110101100101010100101010 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #37: 1011111111101001100111110111111111010010100000011010110110001010 || Fitness: 39 || Mutations: :;:;:;:
Individual #38: 0110000001001111111001010111110110101010010101110001111101011110 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #39: 1111011011001101000001000101111111101101100011000110110110110010 || Fitness: 36 || Mutations: :;:;:;:
Individual #40: 1011110100001111100110010111011101001011101011101001110001101010 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #41: 1010111101011100010110011111101100001111101100011110011100111010 || Fitness: 39 || Mutations: :;:;:;:;:;
Individual #42: 1011101101011100100110001110011110011111100100011111110100111110 || Fitness: 40 || Mutations: :;:;:;:
Individual #43: 1110100111011111011000010111100010111011011101110001110101111010 || Fitness: 40 || Mutations: :;:;:;:
Individual #44: 1000100011100111010101010101011111011101111000111011111100010110 || Fitness: 38 || Mutations: :;:;:;:
Individual #45: 1011111000011110111111110011110111111111001011111101011101011000 || Fitness: 45 || Mutations: :;:;:;:
Individual #46: 1010100100001111111010010111111110101001110011101011110100001110 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #47: 1011101001011000011101001110111100001111101000011110101110111010 || Fitness: 37 || Mutations: :;:;:;:;:;
